"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Wed Apr 05 22:44:03 GMT 2023","Wed Apr 05 22:44:03 GMT 2023","495","test","test_conduit","TestConduit","","","Bejelentkezés - Helyes adatokkal",""
"passed","Wed Apr 05 22:43:58 GMT 2023","Wed Apr 05 22:44:01 GMT 2023","3731","test","test_conduit","TestConduit","","","Regisztráció - Helyes adatokkal",""
"passed","Wed Apr 05 22:43:56 GMT 2023","Wed Apr 05 22:43:56 GMT 2023","142","test","test_conduit","TestConduit","","","Adatkezelési nyilatkozat elfogadása",""
"passed","Wed Apr 05 22:43:54 GMT 2023","Wed Apr 05 22:43:55 GMT 2023","148","test","test_conduit","TestConduit","","","Oldal megnyitása",""
"broken","Wed Apr 05 22:44:05 GMT 2023","Wed Apr 05 22:44:05 GMT 2023","440","test","test_conduit","TestConduit","","","Kijelentkezés - Helyes adatokkal",""
