"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Apr 04 12:32:06 GMT 2023","Tue Apr 04 12:32:06 GMT 2023","85","test","test_conduit","TestConduit","","","Oldal megnyitása",""
"passed","Tue Apr 04 12:32:09 GMT 2023","Tue Apr 04 12:32:13 GMT 2023","3732","test","test_conduit","TestConduit","","","Regisztráció - Helyes adatokkal",""
"broken","Tue Apr 04 12:32:14 GMT 2023","Tue Apr 04 12:32:24 GMT 2023","10531","test","test_conduit","TestConduit","","","Bejelentkezés - Helyes adatokkal",""
"passed","Tue Apr 04 12:32:07 GMT 2023","Tue Apr 04 12:32:07 GMT 2023","82","test","test_conduit","TestConduit","","","Adatkezelési nyilatkozat elfogadása",""
