"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Apr 12 10:20:34 GMT 2023","Wed Apr 12 10:20:39 GMT 2023","4588","vizsgaremek.test","test_conduit","TestConduit","","","Kijelentkezés - Helyes adatokkal","
    Teszteset leírás:
        Másik modulból meghívott függvények: 
            - adatkezelési nyilatkozat elfogadása
            - bejelentkezés megadott felhasználóval
        Kijelentkezési menü megkeresése és megnyomása.
        A kijelentkezést követően az újonnan megjelenő menüpontok megkeresése.
    Vizgálatok leírása:
        - az oldalon a weboldal neve megjelenik
        - az oldalon a weboldal logoja megjelenik
        - az oldalon a weboldal neve conduit
        - az oldalon a weboldal logojának a szövege conduit
         - a megjelenő menüpontok szövegei megegyeznek a külső data forrásban szereplő szövegekkel
    "
"passed","Wed Apr 12 10:20:27 GMT 2023","Wed Apr 12 10:20:32 GMT 2023","5551","vizsgaremek.test","test_conduit","TestConduit","","","Bejelentkezés - Helyes adatokkal","
    Teszteset leírás:
        Másik modulból adatkezelési nyilatkozat függvény behívása.
        Bejelentkezési menü megkeresése és megnyomása.
        Input mezők megkeresése és külső data fájlból adatokkal történő kitöltése.
        Bejelentkezés gomb megkeresése és megnyomása.
        Bejelentkezett felhasználó menüpontjának megkeresése.
        A bejelentkezést követően az újonnan megjelenő menüpontok megkeresése.
    Vizgálatok leírása:
        - bejelentkezés gomb megnyomása előtt:
            < a bejelentkezési gomb használható
            < az input mezők nem üresek
            < az input mezőkben azok az adatok szerepelnek, amik a külső adatforrásban is megjelennek
        - bejelentkezési gomb megnyomása után:
            < megjelenik a felhasználói menüpont
            < a felhasználói menüpont interaktálható
            < a felhasználói menüpont szövege megegyezik a külső data forrásban szereplő szöveggel
            < a megjelenő menüpontok szövegei megegyeznek a külső data forrásban szereplő szövegekkel
    "
"passed","Wed Apr 12 10:20:49 GMT 2023","Wed Apr 12 10:21:36 GMT 2023","46876","vizsgaremek.test","test_conduit","TestConduit","","","Ismételt és sorozatos adatbevitel adatforrásból (blogbejegyzések) - Helyes adatokkal","
    Teszteset leírás:
        Másik modulból meghívott függvények: 
            - adatkezelési nyilatkozat elfogadása
            - bejelentkezés megadott felhasználóval
        Függvény válozó létrehozása a teszteset során létrehozott blogbejegyzések címének eltárolásához.
        Külső adatforrás megnyitása
        For ciklusban: 
            Új blogbejegyzés menü megkeresése és megnyomása.
            Input mezők megkeresése és külső data fájlból adatokkal történő kitöltése.
            Függvény változóhoz hozzáadásra kerül a létrehozott blogbejegyzés címe
            Publikálás gomb megkeresése és megnyomása.
            Felhasználó által létrehozott blogbejegyzések számolásához létrehozott osztályváltozó értékének 1-gyel történő növelése.
            Az újonnan megjelenő oldalon a létrehozott blogbejegyzés adatainak megkeresése.
            Új komment létrehozás gomb megkeresése.
        Az utolsőként létrehozott blogbejegyzésben a szerző gombjának megkeresése és megnyomása
        Megjelenő weboldal frissítése
        Az oldalon a felhasználóhoz tartozó blogbejegyzések címeinek kikeresése.
        A TC6-ban létrehozott blogbejegyzés címének hozzáadása a függvény változóhoz.
    Vizgálatok leírása:
        - for cikluson belül:
            < a létrehozott blogbejegyzés adatainak szövege megegyezik a külső forrásban lévő adatok szövegével
            < új komment létrehozása gomb interaktárlható
        - for ciklus után:
            < az oldalon a felhasználóhoz tartozó blogbejegyzések címeinek száma megegyezik a felhasználó által létrehozott blogbejegyzések osztályváltozóban tárolt értékével
            < a függvény változóban eltárolt blogbejegyzés címek lista elemei szerepelnek a felhasználói menüpont alatt megjelenő felhasználóhoz tartozó bejegyzések címeinek listájában
    "
"passed","Wed Apr 12 10:21:37 GMT 2023","Wed Apr 12 10:21:54 GMT 2023","17218","vizsgaremek.test","test_conduit","TestConduit","","","Meglévő adat módosítás","
    Teszteset leírás:
        Másik modulból meghívott függvények: 
            - adatkezelési nyilatkozat elfogadása
            - bejelentkezés megadott felhasználóval
            - felhasználói menübe navigálás (home oldalról)
            - felhasználói menübe navigálás (blogbejegyzésből)
        Módosítani kívánt blogbejegyzés megkeresése (külső adatforrás segítségévle) és megjelenítése.
        Blogbejegyzés módosítása gomb megkeresése és megnyomása
        Bejegyzés About mezőjének megkeresése, tartalmának törlése és külső adatforrásból az új értékkel történő kitöltése.
        Publikálás gomb megkeresése és megnyomása.
        Felhasználói menübe navigálás
        A módosított bejegyzés címének a formátumának az átalakítása.
        Az átalakított cím segítségével a módosított blogbejegyzés About mezőjének kikeresése.
    Vizgálatok leírása:
        - a módosított bejegyzés About mezőjének jelenlegi értéke nem egyezik meg a külső adatforrásban szereplő eredeti About mező szöveg értékével
        - a módosított bejegyzés About mezőjének jelenlegi értéke megegyezik a külső adatforrásban szereplő módosított About mező szöveg értékével
    "
"passed","Wed Apr 12 10:22:08 GMT 2023","Wed Apr 12 10:22:46 GMT 2023","38046","vizsgaremek.test","test_conduit","TestConduit","","","Adatok lementése felületről",""
"passed","Wed Apr 12 10:22:47 GMT 2023","Wed Apr 12 10:22:54 GMT 2023","6854","vizsgaremek.test","test_conduit","TestConduit","","","Adatok listázása",""
"passed","Wed Apr 12 10:20:22 GMT 2023","Wed Apr 12 10:20:25 GMT 2023","3594","vizsgaremek.test","test_conduit","TestConduit","","","Regisztráció - Helyes adatokkal","
    Teszteset leírás:
        Másik modulból adatkezelési nyilatkozat függvény behívása.
        Regisztráció menü megkeresése és megnyomása.
        Input mezők megkeresése és külső data fájlból adatokkal történő kitöltése.
        Regisztráció gomb megkeresése és megnyomása.
        Megjelenő válaszpanel üzenetének és ok gombjának megkeresése. Majd gomb megnyomása.
    Vizgálatok leírása:
        - regisztráció gomb megnyomása előtt:
            < az input mezők nem üresek
            < az input mezőkben azok az adatok szerepelnek, amik a külső adatforrásban is megjelennek
        - regisztráció gomb megnyomása után:
            < a kapott válasz üzenet szövegének ellenőrzése
            < a válaszüzeneten lévő ok gomb interaktálható    
    "
"broken","Wed Apr 12 10:21:56 GMT 2023","Wed Apr 12 10:22:07 GMT 2023","10861","vizsgaremek.test","test_conduit","TestConduit","","","Adat vagy adatok törlése (blogbejegyzés","
    Teszteset leírás:
        Másik modulból meghívott függvények: 
            - adatkezelési nyilatkozat elfogadása
            - bejelentkezés megadott felhasználóval
            - felhasználói menübe navigálás (home oldalról)
        Függvény válozó létrehozása a törlés előtt meglévő felhasználóhoz taroztó blogbejegyzések címének eltárolásához.
        A felhasználóhoz tartozó bejegyzések címeinek kikeresése.
        A címek számának eltárolása egy függvény vátlozóba.
        For ciklus segítségével a törlsé előtti start állapot szerinti bejegyzés címek tárolására létrehozott függvény változó feltöltése.
        Törölni kívánt blogbejegyzés megkeresése (külső adatforrás segítségévle) és megjelenítése.
        Blogbejegyzés törlése gomb megkeresése és megnyomása
        Felhasználó által létrehozott blogbejegyzések számolásához létrehozott osztályváltozó értékének 1-gyel történő csökkentése.
        Felhasználói menübe navigálás
        Függvény válozó létrehozása a törlés utáni felhasználóhoz taroztó blogbejegyzések címének eltárolásához.
        A törlés után a felhasználóhoz tartozó bejegyzések címeinek kikeresése.
        A törlés után a címek számának eltárolása egy függvény változóba.
        For ciklus segítségével a törlsé utáni állapot szerinti bejegyzés címek tárolására létrehozott függvény változó feltöltése.
    Vizgálatok leírása:
        - törlés előtt:
            < az oldalon a felhasználóhoz tartozó blogbejegyzések címeinek száma megegyezik a felhasználó által létrehozott blogbejegyzések osztályváltozóban tárolt értékével
            < a függvény változóban eltárolt blogbejegyzés címek lista elemei szerepelnek a felhasználói menüpont alatt megjelenő felhasználóhoz tartozó bejegyzések címeinek listájában
        - törlés után:
            < a törlés utáni felhasználóhoz taroztó cikkek száma megegyezik a törlés előtti felhasználóhoz tartozó cikkek számának eggyel csökkentett értékével
            < a törlés utáni felhasználóhoz taroztó cikkek száma megegyezik a felhasználó által létrehozott blogbejegyzések osztályváltozóban tárolt értékével
            < törölt blogbejegyzés címe nem szerepel a törlés utáni felhasználóhoz tartozó cikkek címének listájában
    "
"passed","Wed Apr 12 10:22:55 GMT 2023","Wed Apr 12 10:24:16 GMT 2023","80133","vizsgaremek.test","test_conduit","TestConduit","","","Több oldalas lista bejárása",""
"passed","Wed Apr 12 10:20:40 GMT 2023","Wed Apr 12 10:20:48 GMT 2023","7171","vizsgaremek.test","test_conduit","TestConduit","","","Új adat bevitel (blogbejegyzés) - Helyes adatokkal","
    Teszteset leírás:
        Másik modulból meghívott függvények: 
            - adatkezelési nyilatkozat elfogadása
            - bejelentkezés megadott felhasználóval
        Új blogbejegyzés menü megkeresése és megnyomása.
        Input mezők megkeresése és külső data fájlból adatokkal történő kitöltése.
        Publikálás gomb megkeresése és megnyomása.
        Az újonnan megjelenő oldalon a létrehozott blogbejegyzés adatainak megkeresése.
        Új komment létrehozás gomb megkeresése.
        Felhasználó által létrehozott blogbejegyzések számolásához létrehozott osztályváltozó értékének 1-gyel történő növelése.
    Vizgálatok leírása:
        - a létrehozott blogbejegyzés adatainak szövege megegyezik a külső forrásban lévő adatok szövegével
        - új komment létrehozása gomb interaktárlható
    "
