"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Apr 07 19:59:10 GMT 2023","Fri Apr 07 19:59:26 GMT 2023","16347","vizsgaremek.test","test_conduit","TestConduit","","","Új adat bevitel - Helyes adatokkal",""
"passed","Fri Apr 07 19:58:43 GMT 2023","Fri Apr 07 19:58:43 GMT 2023","88","vizsgaremek.test","test_conduit","TestConduit","","","Oldal megnyitása",""
"broken","Fri Apr 07 19:59:28 GMT 2023","Fri Apr 07 19:59:28 GMT 2023","468","vizsgaremek.test","test_conduit","TestConduit","","","Ismételt és sorozatos adatbevitel adatforrásból - Helyes adatokkal",""
"passed","Fri Apr 07 19:58:58 GMT 2023","Fri Apr 07 19:59:09 GMT 2023","10648","vizsgaremek.test","test_conduit","TestConduit","","","Kijelentkezés - Helyes adatokkal",""
"passed","Fri Apr 07 19:58:44 GMT 2023","Fri Apr 07 19:58:45 GMT 2023","83","vizsgaremek.test","test_conduit","TestConduit","","","Adatkezelési nyilatkozat elfogadása",""
"passed","Fri Apr 07 19:58:46 GMT 2023","Fri Apr 07 19:58:50 GMT 2023","3631","vizsgaremek.test","test_conduit","TestConduit","","","Regisztráció - Helyes adatokkal",""
"passed","Fri Apr 07 19:58:51 GMT 2023","Fri Apr 07 19:58:57 GMT 2023","5577","vizsgaremek.test","test_conduit","TestConduit","","","Bejelentkezés - Helyes adatokkal",""
