"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Apr 11 22:09:07 GMT 2023","Tue Apr 11 22:09:20 GMT 2023","12453","vizsgaremek.test","test_conduit","TestConduit","","","Kijelentkezés - Helyes adatokkal",""
"passed","Tue Apr 11 22:09:21 GMT 2023","Tue Apr 11 22:09:39 GMT 2023","17934","vizsgaremek.test","test_conduit","TestConduit","","","Új adat bevitel - Helyes adatokkal",""
"broken","Tue Apr 11 22:12:13 GMT 2023","Tue Apr 11 22:13:05 GMT 2023","51803","vizsgaremek.test","test_conduit","TestConduit","","","Több oldalas lista bejárása",""
"passed","Tue Apr 11 22:12:05 GMT 2023","Tue Apr 11 22:12:12 GMT 2023","6679","vizsgaremek.test","test_conduit","TestConduit","","","Adatok listázása",""
"passed","Tue Apr 11 22:11:27 GMT 2023","Tue Apr 11 22:12:04 GMT 2023","37569","vizsgaremek.test","test_conduit","TestConduit","","","Adatok lementése felületről",""
"passed","Tue Apr 11 22:09:00 GMT 2023","Tue Apr 11 22:09:05 GMT 2023","5414","vizsgaremek.test","test_conduit","TestConduit","","","Bejelentkezés - Helyes adatokkal",""
"passed","Tue Apr 11 22:10:47 GMT 2023","Tue Apr 11 22:11:04 GMT 2023","17720","vizsgaremek.test","test_conduit","TestConduit","","","Meglévő adat módosítás",""
"failed","Tue Apr 11 22:09:40 GMT 2023","Tue Apr 11 22:10:45 GMT 2023","65292","vizsgaremek.test","test_conduit","TestConduit","","","Ismételt és sorozatos adatbevitel adatforrásból - Helyes adatokkal",""
"passed","Tue Apr 11 22:08:52 GMT 2023","Tue Apr 11 22:08:52 GMT 2023","70","vizsgaremek.test","test_conduit","TestConduit","","","Oldal megnyitása",""
"passed","Tue Apr 11 22:08:55 GMT 2023","Tue Apr 11 22:08:58 GMT 2023","3487","vizsgaremek.test","test_conduit","TestConduit","","","Regisztráció - Helyes adatokkal",""
"passed","Tue Apr 11 22:08:54 GMT 2023","Tue Apr 11 22:08:54 GMT 2023","69","vizsgaremek.test","test_conduit","TestConduit","","","Adatkezelési nyilatkozat elfogadása",""
"passed","Tue Apr 11 22:11:06 GMT 2023","Tue Apr 11 22:11:25 GMT 2023","19831","vizsgaremek.test","test_conduit","TestConduit","","","Adat vagy adatok törlése",""
