"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Apr 07 21:13:33 GMT 2023","Fri Apr 07 21:13:33 GMT 2023","161","vizsgaremek.test","test_conduit","TestConduit","","","Adatkezelési nyilatkozat elfogadása",""
"passed","Fri Apr 07 21:13:34 GMT 2023","Fri Apr 07 21:13:38 GMT 2023","3713","vizsgaremek.test","test_conduit","TestConduit","","","Regisztráció - Helyes adatokkal",""
"passed","Fri Apr 07 21:13:46 GMT 2023","Fri Apr 07 21:13:56 GMT 2023","10493","vizsgaremek.test","test_conduit","TestConduit","","","Kijelentkezés - Helyes adatokkal",""
"passed","Fri Apr 07 21:13:32 GMT 2023","Fri Apr 07 21:13:32 GMT 2023","156","vizsgaremek.test","test_conduit","TestConduit","","","Oldal megnyitása",""
"passed","Fri Apr 07 21:13:57 GMT 2023","Fri Apr 07 21:14:13 GMT 2023","15989","vizsgaremek.test","test_conduit","TestConduit","","","Új adat bevitel - Helyes adatokkal",""
"failed","Fri Apr 07 21:14:15 GMT 2023","Fri Apr 07 21:15:19 GMT 2023","64012","vizsgaremek.test","test_conduit","TestConduit","","","Ismételt és sorozatos adatbevitel adatforrásból - Helyes adatokkal",""
"passed","Fri Apr 07 21:13:39 GMT 2023","Fri Apr 07 21:13:45 GMT 2023","5427","vizsgaremek.test","test_conduit","TestConduit","","","Bejelentkezés - Helyes adatokkal",""
