"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Tue Apr 04 13:38:05 GMT 2023","Tue Apr 04 13:38:10 GMT 2023","5006","test","test_conduit","TestConduit","","","Kijelentkezés - Helyes adatokkal",""
"broken","Tue Apr 04 13:37:59 GMT 2023","Tue Apr 04 13:38:04 GMT 2023","5324","test","test_conduit","TestConduit","","","Bejelentkezés - Helyes adatokkal",""
"passed","Tue Apr 04 13:37:54 GMT 2023","Tue Apr 04 13:37:58 GMT 2023","3625","test","test_conduit","TestConduit","","","Regisztráció - Helyes adatokkal",""
"passed","Tue Apr 04 13:37:53 GMT 2023","Tue Apr 04 13:37:53 GMT 2023","109","test","test_conduit","TestConduit","","","Adatkezelési nyilatkozat elfogadása",""
"passed","Tue Apr 04 13:37:51 GMT 2023","Tue Apr 04 13:37:51 GMT 2023","141","test","test_conduit","TestConduit","","","Oldal megnyitása",""
