"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Apr 05 22:47:15 GMT 2023","Wed Apr 05 22:47:15 GMT 2023","68","test","test_conduit","TestConduit","","","Oldal megnyitása",""
"passed","Wed Apr 05 22:47:17 GMT 2023","Wed Apr 05 22:47:17 GMT 2023","76","test","test_conduit","TestConduit","","","Adatkezelési nyilatkozat elfogadása",""
"passed","Wed Apr 05 22:47:18 GMT 2023","Wed Apr 05 22:47:21 GMT 2023","3470","test","test_conduit","TestConduit","","","Regisztráció - Helyes adatokkal",""
"passed","Wed Apr 05 22:47:29 GMT 2023","Wed Apr 05 22:47:40 GMT 2023","10505","test","test_conduit","TestConduit","","","Kijelentkezés - Helyes adatokkal",""
"passed","Wed Apr 05 22:47:22 GMT 2023","Wed Apr 05 22:47:28 GMT 2023","5427","test","test_conduit","TestConduit","","","Bejelentkezés - Helyes adatokkal",""
