"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Apr 05 14:07:31 GMT 2023","Wed Apr 05 14:07:31 GMT 2023","109","test","test_conduit","TestConduit","","","Adatkezelési nyilatkozat elfogadása",""
"failed","Wed Apr 05 14:07:37 GMT 2023","Wed Apr 05 14:07:43 GMT 2023","5430","test","test_conduit","TestConduit","","","Bejelentkezés - Helyes adatokkal",""
"passed","Wed Apr 05 14:07:32 GMT 2023","Wed Apr 05 14:07:36 GMT 2023","3653","test","test_conduit","TestConduit","","","Regisztráció - Helyes adatokkal",""
"passed","Wed Apr 05 14:07:44 GMT 2023","Wed Apr 05 14:07:59 GMT 2023","15582","test","test_conduit","TestConduit","","","Kijelentkezés - Helyes adatokkal",""
"passed","Wed Apr 05 14:07:30 GMT 2023","Wed Apr 05 14:07:30 GMT 2023","159","test","test_conduit","TestConduit","","","Oldal megnyitása",""
