"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Apr 07 20:37:39 GMT 2023","Fri Apr 07 20:37:55 GMT 2023","16474","vizsgaremek.test","test_conduit","TestConduit","","","Új adat bevitel - Helyes adatokkal",""
"passed","Fri Apr 07 20:37:20 GMT 2023","Fri Apr 07 20:37:25 GMT 2023","5630","vizsgaremek.test","test_conduit","TestConduit","","","Bejelentkezés - Helyes adatokkal",""
"passed","Fri Apr 07 20:37:11 GMT 2023","Fri Apr 07 20:37:11 GMT 2023","188","vizsgaremek.test","test_conduit","TestConduit","","","Oldal megnyitása",""
"passed","Fri Apr 07 20:37:14 GMT 2023","Fri Apr 07 20:37:18 GMT 2023","4015","vizsgaremek.test","test_conduit","TestConduit","","","Regisztráció - Helyes adatokkal",""
"passed","Fri Apr 07 20:37:27 GMT 2023","Fri Apr 07 20:37:37 GMT 2023","10705","vizsgaremek.test","test_conduit","TestConduit","","","Kijelentkezés - Helyes adatokkal",""
"broken","Fri Apr 07 20:37:57 GMT 2023","Fri Apr 07 20:39:03 GMT 2023","66125","vizsgaremek.test","test_conduit","TestConduit","","","Ismételt és sorozatos adatbevitel adatforrásból - Helyes adatokkal",""
"passed","Fri Apr 07 20:37:13 GMT 2023","Fri Apr 07 20:37:13 GMT 2023","187","vizsgaremek.test","test_conduit","TestConduit","","","Adatkezelési nyilatkozat elfogadása",""
