"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Fri Apr 07 20:10:08 GMT 2023","Fri Apr 07 20:10:08 GMT 2023","318","vizsgaremek.test","test_conduit","TestConduit","","","Ismételt és sorozatos adatbevitel adatforrásból - Helyes adatokkal",""
"passed","Fri Apr 07 20:09:26 GMT 2023","Fri Apr 07 20:09:26 GMT 2023","155","vizsgaremek.test","test_conduit","TestConduit","","","Adatkezelési nyilatkozat elfogadása",""
"passed","Fri Apr 07 20:09:39 GMT 2023","Fri Apr 07 20:09:49 GMT 2023","10502","vizsgaremek.test","test_conduit","TestConduit","","","Kijelentkezés - Helyes adatokkal",""
"passed","Fri Apr 07 20:09:28 GMT 2023","Fri Apr 07 20:09:31 GMT 2023","3641","vizsgaremek.test","test_conduit","TestConduit","","","Regisztráció - Helyes adatokkal",""
"passed","Fri Apr 07 20:09:32 GMT 2023","Fri Apr 07 20:09:38 GMT 2023","5442","vizsgaremek.test","test_conduit","TestConduit","","","Bejelentkezés - Helyes adatokkal",""
"passed","Fri Apr 07 20:09:25 GMT 2023","Fri Apr 07 20:09:25 GMT 2023","164","vizsgaremek.test","test_conduit","TestConduit","","","Oldal megnyitása",""
"passed","Fri Apr 07 20:09:51 GMT 2023","Fri Apr 07 20:10:07 GMT 2023","15994","vizsgaremek.test","test_conduit","TestConduit","","","Új adat bevitel - Helyes adatokkal",""
